2017-07-25 11:41:43+0800 [-] Log opened.
2017-07-25 13:12:58+0800 [-] --sync_check_all--name=biz_role_ectype, idslen=0
2017-07-25 13:12:58+0800 [-] --sync_check_all--name=biz_role_recharge, idslen=0
2017-07-25 13:12:58+0800 [-] <----sync_check_all end usetime=0.033000--------------------
2017-07-25 13:21:44+0800 [-] Greactor Run
2017-07-25 13:31:44+0800 [-] Greactor Run
2017-07-25 13:41:44+0800 [-] Greactor Run
2017-07-25 13:43:00+0800 [-] ----sync_check_all begin-------------------->
2017-07-25 13:43:00+0800 [-] --sync_check_all--name=biz_role_act_recharge_cumulative_time, idslen=0
2017-07-25 13:43:00+0800 [-] --sync_check_all--name=biz_role_ship, idslen=0
2017-07-25 13:43:00+0800 [-] --sync_check_all--name=biz_role_act_week_month, idslen=0
2017-07-25 13:43:00+0800 [-] --sync_check_all--name=biz_role_act_daily_recharge_gift, idslen=0
2017-07-25 13:43:00+0800 [-] --sync_check_all--name=biz_union_role_association, idslen=0
2017-07-25 13:43:00+0800 [-] --sync_check_all--name=biz_role_soul, idslen=0
2017-07-25 13:43:00+0800 [-] --sync_check_all--name=biz_recharge_order, idslen=0
2017-07-25 13:43:00+0800 [-] --sync_check_all--name=biz_role, idslen=0
2017-07-25 13:43:00+0800 [-] --sync_check_all--name=biz_role_event, idslen=0
2017-07-25 13:43:00+0800 [-] --sync_check_all--name=biz_union_message, idslen=0
2017-07-25 13:43:00+0800 [-] --sync_check_all--name=biz_server_info, idslen=1
2017-07-25 13:43:00+0800 [-] --sync_check_all--name=biz_role_carnival_data, idslen=0
2017-07-25 13:43:00+0800 [-] --sync_check_all--name=biz_role_carnival, idslen=0
2017-07-25 13:43:00+0800 [-] --sync_check_all--name=biz_role_event_unit, idslen=0
2017-07-25 13:43:00+0800 [-] --sync_check_all--name=biz_role_tower, idslen=0
2017-07-25 13:43:00+0800 [-] --sync_check_all--name=biz_actcode, idslen=0
2017-07-25 13:43:00+0800 [-] --sync_check_all--name=biz_role_act_time_buy, idslen=0
2017-07-25 13:43:00+0800 [-] --sync_check_all--name=biz_role_ship_equip, idslen=0
2017-07-25 13:43:00+0800 [-] --sync_check_all--name=biz_union, idslen=0
2017-07-25 13:43:00+0800 [-] --sync_check_all--name=biz_server_forces_war_ship, idslen=0
2017-07-25 13:43:00+0800 [-] --sync_check_all--name=biz_role_union_message, idslen=0
2017-07-25 13:43:00+0800 [-] --sync_check_all--name=biz_role_act_login_reward, idslen=0
2017-07-25 13:43:00+0800 [-] --sync_check_all--name=biz_role_forces_war, idslen=0
2017-07-25 13:43:00+0800 [-] --sync_check_all--name=biz_role_cost_diamond, idslen=0
2017-07-25 13:43:00+0800 [-] --sync_check_all--name=biz_role_expedition, idslen=0
2017-07-25 13:43:00+0800 [-] --sync_check_all--name=biz_server_forces_war_group_role, idslen=0
2017-07-25 13:43:00+0800 [-] --sync_check_all--name=biz_role_bag, idslen=0
2017-07-25 13:43:00+0800 [-] --sync_check_all--name=biz_role_friend_apply, idslen=0
2017-07-25 13:43:00+0800 [-] --sync_check_all--name=biz_role_act_cost_gift, idslen=0
2017-07-25 13:43:00+0800 [-] --sync_check_all--name=biz_server_forces_war_msg, idslen=0
2017-07-25 13:43:00+0800 [-] --sync_check_all--name=biz_server_act_time_buy, idslen=0
2017-07-25 13:43:00+0800 [-] --sync_check_all--name=biz_role_shipskill, idslen=0
2017-07-25 13:43:00+0800 [-] --sync_check_all--name=biz_role_act_time_exchange, idslen=0
2017-07-25 13:43:00+0800 [-] --sync_check_all--name=biz_role_friend_association, idslen=0
2017-07-25 13:43:00+0800 [-] --sync_check_all--name=biz_role_act_recharge_gift, idslen=0
2017-07-25 13:43:00+0800 [-] --sync_check_all--name=biz_server_forces_war_group, idslen=0
2017-07-25 13:43:00+0800 [-] --sync_check_all--name=biz_role_ectype, idslen=0
2017-07-25 13:43:00+0800 [-] --sync_check_all--name=biz_role_recharge, idslen=0
2017-07-25 13:43:00+0800 [-] <----sync_check_all end usetime=0.007000--------------------
2017-07-25 13:51:44+0800 [-] Greactor Run
2017-07-25 14:01:44+0800 [-] Greactor Run
2017-07-25 14:11:44+0800 [-] Greactor Run
2017-07-25 14:13:02+0800 [-] ----sync_check_all begin-------------------->
2017-07-25 14:13:02+0800 [-] --sync_check_all--name=biz_role_act_recharge_cumulative_time, idslen=0
2017-07-25 14:13:02+0800 [-] --sync_check_all--name=biz_role_ship, idslen=0
2017-07-25 14:13:02+0800 [-] --sync_check_all--name=biz_role_act_week_month, idslen=0
2017-07-25 14:13:02+0800 [-] --sync_check_all--name=biz_role_act_daily_recharge_gift, idslen=0
2017-07-25 14:13:02+0800 [-] --sync_check_all--name=biz_union_role_association, idslen=0
2017-07-25 14:13:02+0800 [-] --sync_check_all--name=biz_role_soul, idslen=0
2017-07-25 14:13:02+0800 [-] --sync_check_all--name=biz_recharge_order, idslen=0
2017-07-25 14:13:02+0800 [-] --sync_check_all--name=biz_role, idslen=0
2017-07-25 14:13:02+0800 [-] --sync_check_all--name=biz_role_event, idslen=0
2017-07-25 14:13:02+0800 [-] --sync_check_all--name=biz_union_message, idslen=0
2017-07-25 14:13:02+0800 [-] --sync_check_all--name=biz_server_info, idslen=1
2017-07-25 14:13:02+0800 [-] --sync_check_all--name=biz_role_carnival_data, idslen=0
2017-07-25 14:13:02+0800 [-] --sync_check_all--name=biz_role_carnival, idslen=0
2017-07-25 14:13:02+0800 [-] --sync_check_all--name=biz_role_event_unit, idslen=0
2017-07-25 14:13:02+0800 [-] --sync_check_all--name=biz_role_tower, idslen=0
2017-07-25 14:13:02+0800 [-] --sync_check_all--name=biz_actcode, idslen=0
2017-07-25 14:13:02+0800 [-] --sync_check_all--name=biz_role_act_time_buy, idslen=0
2017-07-25 14:13:02+0800 [-] --sync_check_all--name=biz_role_ship_equip, idslen=0
2017-07-25 14:13:02+0800 [-] --sync_check_all--name=biz_union, idslen=0
2017-07-25 14:13:02+0800 [-] --sync_check_all--name=biz_server_forces_war_ship, idslen=0
2017-07-25 14:13:02+0800 [-] --sync_check_all--name=biz_role_union_message, idslen=0
2017-07-25 14:13:02+0800 [-] --sync_check_all--name=biz_role_act_login_reward, idslen=0
2017-07-25 14:13:02+0800 [-] --sync_check_all--name=biz_role_forces_war, idslen=0
2017-07-25 14:13:02+0800 [-] --sync_check_all--name=biz_role_cost_diamond, idslen=0
2017-07-25 14:13:02+0800 [-] --sync_check_all--name=biz_role_expedition, idslen=0
2017-07-25 14:13:02+0800 [-] --sync_check_all--name=biz_server_forces_war_group_role, idslen=0
2017-07-25 14:13:02+0800 [-] --sync_check_all--name=biz_role_bag, idslen=0
2017-07-25 14:13:02+0800 [-] --sync_check_all--name=biz_role_friend_apply, idslen=0
2017-07-25 14:13:02+0800 [-] --sync_check_all--name=biz_role_act_cost_gift, idslen=0
2017-07-25 14:13:02+0800 [-] --sync_check_all--name=biz_server_forces_war_msg, idslen=0
2017-07-25 14:13:02+0800 [-] --sync_check_all--name=biz_server_act_time_buy, idslen=0
2017-07-25 14:13:02+0800 [-] --sync_check_all--name=biz_role_shipskill, idslen=0
2017-07-25 14:13:02+0800 [-] --sync_check_all--name=biz_role_act_time_exchange, idslen=0
2017-07-25 14:13:02+0800 [-] --sync_check_all--name=biz_role_friend_association, idslen=0
2017-07-25 14:13:02+0800 [-] --sync_check_all--name=biz_role_act_recharge_gift, idslen=0
2017-07-25 14:13:02+0800 [-] --sync_check_all--name=biz_server_forces_war_group, idslen=0
2017-07-25 14:13:02+0800 [-] --sync_check_all--name=biz_role_ectype, idslen=0
2017-07-25 14:13:02+0800 [-] --sync_check_all--name=biz_role_recharge, idslen=0
2017-07-25 14:13:02+0800 [-] <----sync_check_all end usetime=0.010000--------------------
2017-07-25 14:21:44+0800 [-] Greactor Run
